post_id,date,platform,content_type,campaign,followers,impressions,likes,comments,shares,saves,clicks,new_followers,engagement_rate
1,2024-05-05,Instagram,Video,NewSeason,1882427,74158,8583,1300,775,246,2931,15,14.372
2,2024-09-15,Instagram,Image,NBA_Playoffs,232599,295254,13537,1996,799,569,15131,414,5.5315
3,2024-06-23,Instagram,Image,FanEngagement,2340953,82516,3960,651,76,229,2898,176,5.6801
4,2024-08-23,YouTube,Story,Summer2024,4508207,66444,9734,1039,580,1002,3541,441,17.0866
5,2024-12-26,Facebook,Post,NBA_Playoffs,593470,25025,2651,439,261,279,1768,194,13.3906
6,2024-03-24,Facebook,Reel,NewSeason,3115303,187264,8845,796,834,750,9857,87,5.5937
7,2024-08-24,YouTube,Image,NBA_Playoffs,3193102,142530,21185,3093,1273,1874,9834,397,17.9268
8,2024-06-10,Instagram,Image,Summer2024,3375214,141373,4043,755,246,371,3517,255,3.5679
9,2024-05-15,TikTok,Reel,NBA_Playoffs,1181304,130303,15225,1992,1175,956,6625,185,14.1148
10,2024-09-09,Twitter,Image,Merchandise,772603,397247,10378,689,689,1029,15711,32,2.9594
11,2024-08-27,TikTok,Reel,Merchandise,4448532,132813,19422,3478,214,1788,7665,274,17.4034
12,2024-05-30,Facebook,Story,Summer2024,3657075,83920,6628,1279,588,307,3779,91,10.1227
13,2024-11-23,YouTube,Video,NewSeason,4268584,320275,14687,1558,360,1694,23883,470,5.1846
14,2024-09-07,Instagram,Post,NewSeason,173382,59650,8397,1526,712,426,838,449,17.829
15,2024-09-05,YouTube,Video,Summer2024,590596,399774,35680,2457,2475,4091,8618,270,10.1587
16,2024-10-03,YouTube,Reel,NBA_Playoffs,1697377,374790,22683,4520,1553,1447,17326,61,7.6726
17,2024-06-22,Twitter,Image,Summer2024,186448,309443,28471,3936,303,2584,4369,34,10.5706
18,2024-09-20,Instagram,Story,Summer2024,2006527,147002,15724,1291,344,1785,7346,242,11.8087
19,2024-04-07,Twitter,Reel,FanEngagement,801262,51819,5475,564,257,582,714,334,12.15
20,2024-06-22,Instagram,Video,FanEngagement,926615,131367,5899,769,133,226,5567,447,5.1771
21,2024-02-20,Instagram,Reel,Merchandise,434365,342911,51404,9016,4996,5789,23801,85,19.0767
22,2024-04-19,TikTok,Reel,FanEngagement,3374169,474139,13096,1399,1292,609,30764,232,3.3296
23,2024-12-04,Facebook,Reel,Merchandise,4092495,82158,3671,303,56,343,1172,160,4.9052
24,2024-09-01,Instagram,Video,Merchandise,4228214,483023,63205,4652,6097,1770,11113,304,15.3107
25,2024-03-02,Instagram,Image,FanEngagement,4788783,130087,12392,693,215,1062,6447,161,10.2239
26,2024-05-02,Facebook,Image,NewSeason,2238136,208505,7717,1133,394,871,15742,4,4.4335
27,2024-02-21,TikTok,Post,Merchandise,624555,282875,13495,1211,1268,1458,20239,189,5.647
28,2024-10-05,Facebook,Image,FanEngagement,2547697,321695,47578,8138,2740,4129,15705,477,18.1712
29,2024-02-29,Instagram,Image,NewSeason,907882,390240,35870,3258,2311,3291,9464,324,10.6188
30,2024-05-08,Facebook,Post,FanEngagement,436132,49390,5060,882,70,269,946,134,12.1725
31,2024-12-27,Twitter,Reel,Merchandise,3597697,295076,6272,384,561,692,14220,427,2.4458
32,2024-03-16,Facebook,Post,Merchandise,3615312,67818,1725,180,162,202,867,183,3.0479
33,2024-06-30,Twitter,Image,Summer2024,4706643,464541,62115,12179,4810,6992,12343,83,17.0284
34,2024-04-01,Twitter,Reel,Summer2024,2796573,411195,57980,9876,5088,5860,11791,403,17.7395
35,2024-08-28,Instagram,Reel,Summer2024,1875909,105633,13326,1586,499,1326,2739,12,14.5892
36,2024-05-22,Twitter,Reel,NewSeason,592343,406445,22877,3345,1051,2702,19320,480,6.7101
37,2024-04-01,Instagram,Video,NewSeason,4880339,140180,3500,488,143,345,5683,261,2.9469
38,2024-04-07,Instagram,Reel,Merchandise,2146767,24271,2721,136,253,200,1464,379,12.8136
39,2024-02-05,Twitter,Story,FanEngagement,2779918,327712,19927,3531,1490,996,10372,209,7.6128
